text_id	lookup_key	number	title	subtitle	sort_key	artist	min_bpm	max_bpm	level1	notes1	level2	notes2	level3	notes3	level4	notes4	level5	notes5	limited	hidden	deleted	activated	event	added_at	deleted_at
wannabeyourspecial	wannabeyourspecial	1	Wanna Be Your Special		wanna be your special	Shoichiro Hirata feat. SUIMI	137	137	8	89	23	163	40	230					FALSE	FALSE	FALSE	TRUE		2013/12/2
touchofgold	touchofgold	2	Touch Of Gold		touch of gold	Togo Project feat. Frances Maya	125	125	9	94	28	199	44	276					FALSE	FALSE	FALSE	TRUE		2013/12/2
amenootoganijiwoyobu	amenootoganijiwoyobu	3	雨の音が虹を呼ぶ		アメノオトガニジヲヨブ	Barbarian On The Groove feat. 霜月はるか	160	160	12	92	26	203	47	303					FALSE	FALSE	FALSE	TRUE		2013/12/2
kimitomusic	kimitomusic	4	キミとMUSIC		キミトmusic	CooRie	162	162	10	85	26	175	49	326					FALSE	FALSE	FALSE	TRUE		2013/12/2
landingonthemoon	landingonthemoon	5	Landing on the moon		landing on the moon	SIMON	138	138	26	163	33	225	49	308					FALSE	FALSE	FALSE	TRUE		2013/12/2
aqualight	aqualight	6	Aqualight		aqualight	MAYA AKAI	136	136	16	122	34	258	58	378					FALSE	FALSE	FALSE	TRUE		2013/12/2
wanyowanyo	wanyowanyo	7	Wanyo Wanyo		wanyo wanyo	MC Natsack	120	120	14	132	33	234	56	344					FALSE	FALSE	FALSE	TRUE		2013/12/2
lotuslove	lotuslove	8	Lotus Love		lotus love	Maozon	140	140	20	173	36	249	64	358					FALSE	FALSE	FALSE	TRUE		2013/12/3
dirtymouth	dirtymouth	9	Dirty Mouth		dirty mouth	Asletics	128	128	15	137	28	242	59	387					FALSE	FALSE	FALSE	TRUE		2013/12/2
hontonowatashi	hontonowatashi	10	ホントのワタシ		ホントノワタシ	mao	130	130	12	91	26	164	53	295					FALSE	FALSE	FALSE	TRUE		2013/12/2
jahacid	jahacid	11	Jahacid		jahacid	DJ SODEYAMA	125	125	17	126	29	206	59	336					FALSE	FALSE	FALSE	TRUE		2013/12/2
breakyourworld	breakyourworld	12	Break Your World		break your world	RAM	175	175	23	175	34	262	67	488					FALSE	FALSE	FALSE	TRUE	第1回個人戦	2013/12/20
whatiswrongwiththeworld	whatiswrongwiththeworld	13	What Is Wrong With The World		what is wrong with the world	SADA	172	172	26	223	38	320	62	446					FALSE	FALSE	FALSE	TRUE		2013/12/2
binaryoverdrive	binaryoverdrive	14	Binary Overdrive		binary overdrive	フラット3rd	190	190	19	147	39	277	64	459					FALSE	FALSE	FALSE	TRUE		2013/12/2
breakdown	breakdown	15	Break down		break down	GARNiDELiA	182	182	23	178	35	272	59	339					FALSE	FALSE	FALSE	TRUE		2013/12/2
hi	hi	16	Hi		hi	Go-qualia	83	83	19	132	30	173	58	296					FALSE	FALSE	FALSE	TRUE		2013/12/8
otherside	otherside	17	Otherside		otherside	Taishi	132	132	19	145	35	209	58	344					FALSE	FALSE	FALSE	TRUE		2013/12/2
freakwithme	freakwithme	18	Freak With Me		freak with me	SLAKE	130	130	22	180	42	342	65	455					FALSE	FALSE	FALSE	TRUE		2013/12/2
mikakuninxxseimeitai	mikakuninxxseimeitai	19	未確認XX生命体		ミカクニンxxセイメイタイ	民安★ROCK	150	150	19	143	31	231	54	378					FALSE	FALSE	FALSE	TRUE		2013/12/2
loveless	loveless	20	Loveless		loveless	YOSA	123	123	23	164	38	301	60	409					FALSE	FALSE	FALSE	TRUE		2013/12/2
giantkilling	giantkilling	21	Giant Killing		giant killing	R-Lab	140	140	25	177	53	339	71	481					FALSE	FALSE	FALSE	TRUE		2013/12/2
theepic	theepic	22	The Epic		the epic	Cranky	163	163	17	149	40	284	60	421					FALSE	FALSE	FALSE	TRUE		2013/12/2
anomie	anomie	23	Anomie		anomie	D-Fener	144	144	20	191	36	248	61	349					FALSE	FALSE	FALSE	TRUE		2013/12/2
azitate	azitate	24	Azitate		azitate	void	152	152	24	204	55	329	70	536					FALSE	FALSE	FALSE	TRUE		2013/12/2
impact	impact	25	Impact		impact	Tatsh	138	138	24	192	60	397	72	540					FALSE	FALSE	FALSE	TRUE		2013/12/2
saigono1page	saigono1page	26	最後の1ページ		サイゴノ1ページ	桜井零士	127	127	19	154	31	240	57	358					FALSE	FALSE	FALSE	TRUE	第1回個人戦	2013/12/20
crossangel	crossangel	27	Cross+Angel		crossangel	Tatsh feat. 彩音	166	166	27	178	53	319	67	457					FALSE	FALSE	FALSE	TRUE	第1回個人戦	2013/12/20
dazzlingseason	dazzlingseason	28	DAZZLING&#x2661;SEASON		dazzlingseason	jun	180	180	43	250	62	412	80	562					FALSE	FALSE	FALSE	TRUE		2013/12/2
nextfrontier	nextfrontier	29	NEXT FRONTIER		next frontier	NAOKI	150	150	48	363	65	513	82	574					FALSE	FALSE	FALSE	TRUE		2013/12/2
azitateprologue	azitateprologue	30	Azitate	(Prologue Edition)	azitate prologue edition	void	152	152	23	143	52	275	66	377					FALSE	FALSE	FALSE	TRUE	東京ゲームショウ来場特典	2013/12/2
landingonthemooninst	landingonthemooninst	31	Landing on the moon	(Instrumental Version)	landing on the moon instrumental	SIMON	138	138	20	142	34	217	59	318					FALSE	FALSE	FALSE	TRUE	東京ゲームショウ試遊特典	2013/12/2
dynamitesensation	dynamitesensation	32	DYNAMITE SENSATION		dynamite sensation	NAOKI	150	150	26	176	54	276	68	388					FALSE	FALSE	FALSE	TRUE	事前登録特典	2013/12/2
diamondskin	diamondskin	33	DIAMOND SKIN		diamond skin	GLAY	142	142	10	74	26	109	33	187					FALSE	FALSE	FALSE	TRUE		2013/12/2
everkrack	everkrack	34	everKrack		everkrack	GLAY	158	158	18	172	29	204	41	357					FALSE	FALSE	FALSE	TRUE	GLAYキャンペーン	2013/12/6
yuwaku	yuwaku	35	誘惑		ユウワク	GLAY	179	179	15	137	26	193	43	345					FALSE	FALSE	FALSE	TRUE	GLAYキャンペーン	2013/12/9
justicefromguilty	justicefromguilty	36	JUSTICE [from] GUILTY		justice from guilty	GLAY	178	178	15	110	28	183	50	300					FALSE	FALSE	FALSE	TRUE	GLAYキャンペーン	2013/12/11
winteragain	winteragain	37	Winter, again		winter again	GLAY	114	114	14	121	24	161	41	284					FALSE	FALSE	FALSE	TRUE	GLAYキャンペーン	2013/12/13
eternally	eternally	38	Eternally		eternally	GLAY	88	88	12	85	21	125	39	193					FALSE	FALSE	FALSE	TRUE	GLAYキャンペーン	2013/12/20
aerial	aerial	39	エアリアル		エアリアル	カヒーナムジカ	165	165	12	63	28	166	56	389					FALSE	FALSE	FALSE	TRUE	WINTERキャンペーン	2013/12/20
whatiswrongwiththeworldcross	whatiswrongwiththeworldcross	40	What Is Wrong With The World	(Cross Edit)	what is wrong with the world cross edit	SADA	172	172	20	86	43	228	67	356					FALSE	FALSE	FALSE	TRUE	ファミ通App お年玉企画	2014/1/2
remilkyway	remilkyway	41	Re:Milky way		remilky way	イトヲカシ	142	142	13	77	26	192	46	317					FALSE	FALSE	FALSE	TRUE	2014年始ログイン特典	2014/1/1
sundrop	sundrop	42	Sundrop		sundrop	Yamajet	150	150	24	126	47	226	75	441					FALSE	FALSE	FALSE	TRUE	年越し個人戦	2014/1/1
childrenautomaton	childrenautomaton	43	チルドレン・オートマトン	～ある歌声の亡霊～	チルドレンオートマトン	あさまっく	170	170	24	133	41	181	57	292					FALSE	FALSE	FALSE	TRUE	年越し個人戦	2014/1/1
tsukaisutedeadworld	tsukaisutedeadworld	44	ツカイステ・デッドワールド		ツカイステデッドワールド	コゲ犬×ゆちゃ	130	130	21	145	44	276	74	504					FALSE	FALSE	FALSE	TRUE	年越し個人戦	2014/1/6
dennoshojohautahimenoyumewomiruka	dennoshojohautahimenoyumewomiruka	45	電脳少女は歌姫の夢を見るか?		デンノウショウジョハウタヒメノユメヲミルカ	デスおはぎ feat. 蛮	240	240	29	129	57	328	76	488					FALSE	FALSE	FALSE	TRUE	年越し個人戦	2014/1/6
reseed	reseed	46	Reseed		reseed	quick master	201	201	22	122	47	254	63	450					FALSE	FALSE	FALSE	TRUE	年越し個人戦	2014/1/6
romancinggame	romancinggame	47	ロマンシングゲーム		ロマンシングゲーム	まふ×ティン	210	210	28	221	55	379	81	595					FALSE	TRUE	FALSE	TRUE	第1回ランダムセレクト祭	2014/1/16
anotherchance	anotherchance	48	Another Chance		another chance	Luci	174	174	27	132	37	195	73	519					FALSE	TRUE	FALSE	TRUE	第1回ランダムセレクト祭	2014/1/16
headphoneparty	headphoneparty	49	HEADPHONE PARTY		headphone party	A-One	152	152	24	141	32	217	52	372					FALSE	FALSE	FALSE	TRUE	ストアイベント開催記念キャンペーン	2014/1/8
zi	zi	50	Z[i]		zi	Cybermiso	185	185	30	216	57	330	88	542					FALSE	FALSE	FALSE	TRUE		2014/1/8
makeitfresh	makeitfresh	51	Make It Fresh	EDM ver.	make it fresh	HighLux	130	130	11	74	24	191	48	310					FALSE	FALSE	FALSE	TRUE	AppleStoreイベント配布	2014/1/18
aeug	aeug	52	A&times;E&times;U&times;G	-act.1-	aeug	190Cb	95	190	44	303	69	454	90	545					FALSE	TRUE	FALSE	TRUE	第1回ランダムセレクト祭	2014/1/16
rockman	rockman	53	ロックマン	(CUTMAN STAGE)	ロックマン	Remixed by てつ×ねこ	150	150	27	142	48	341	73	532					FALSE	TRUE	FALSE	TRUE	第1回ランダムセレクト祭	2014/1/16
makaimura	makaimura	54	魔界村	(平地BGM)	マカイムラ	Remixed by ARM (IOSYS)	185	185	30	281	50	429	77	607					FALSE	FALSE	FALSE	TRUE	カプコン30周年記念CDコラボイベント	2014/1/30
gyakutensaiban	gyakutensaiban	55	逆転裁判	(綾里真宵 ～逆転姉妹のテーマ)	ギャクテンサイバン	Remixed by OSTER project	128	128	6	59	21	149	46	298					FALSE	FALSE	FALSE	TRUE	カプコン30周年記念CDコラボイベント	2014/1/30
sengokubasara	sengokubasara	56	戦国BASARA	(SENGOKU BASARA)	センゴクbasara	Remixed by SOUND HOLIC	164	164	12	78	37	212	64	462					FALSE	FALSE	FALSE	TRUE	カプコン30周年記念CDコラボイベント	2014/1/30
howtrueisyourlove	howtrueisyourlove	57	How True Is Your Love		how true is your love	brinq	132	132	12	73	25	139	53	330					FALSE	FALSE	FALSE	TRUE	バレンタインキャンペーン	2014/2/5
grandarc	grandarc	58	Grand Arc		grand arc	Tosh	138	138	21	159	38	216	79	459					FALSE	TRUE	FALSE	TRUE	第2回ランダムセレクト祭	2014/1/31
saishukaistory	saishukaistory	59	最終回STORY		サイシュウカイstory	MY FIRST STORY	215	215	18	125	36	259	56	331					FALSE	FALSE	FALSE	TRUE	Next Break Artistコラボ 第1弾	2014/2/17
underworld	underworld	60	Underworld		underworld	ANOTHER STORY	196	196	29	145	46	279	69	473					FALSE	FALSE	FALSE	TRUE	Next Break Artistコラボ 第1弾	2014/2/17
megitsune	megitsune	61	メギツネ		メギツネ	BABYMETAL	95	142	15	70	30	157	49	297					FALSE	FALSE	FALSE	TRUE	Next Break Artistコラボ 第1弾	2014/2/17
nuera	nuera	62	Nu Era		nu era	SPARKER	175	175	22	144	43	222	75	447					FALSE	TRUE	FALSE	TRUE	第3回ランダムセレクト祭	2014/2/26
somedayinst	somedayinst	63	some day	(instrumental)	some day instrumental	NAOKI	155	155	13	107	43	304	77.7	503					FALSE	FALSE	FALSE	TRUE	au未来研究所コラボキャンペーン第1弾	2014/2/26
hagitokonotheme	hagitokonotheme	64	「ハギとこ!」のテーマ		ハギトコノテーマ	ハギー	150	150	12	68	26	141	50	299					FALSE	FALSE	TRUE	TRUE	ハギとこ! コラボキャンペーン	2014/3/4	2016/6/21
touchofgoldremix	touchofgoldremix	65	Touch Of Gold	(Bongo Mango Remix)	touch of gold remix	Togo Project feat. Frances Maya	125	125	17	131	32	202	52	313					FALSE	FALSE	FALSE	TRUE	Touch Of Gold フェスティバル	2014/3/10
daisakkaigarakutasympathy	daisakkaigarakutasympathy	66	大殺界がらくたシンパシー		ダイサッカイガラクタシンパシー	まふまふ	204	204	27	157	36	260	66	500					FALSE	FALSE	FALSE	TRUE	Whte Day杯	2014/3/19
rideonnow	rideonnow	67	RIDE ON NOW!		ride on now	さつき が てんこもり feat. un:c	132	132	27	197	39	265	64	476					FALSE	FALSE	FALSE	TRUE	Whte Day杯	2014/3/19
hokorobishirogirls	hokorobishirogirls	68	ホコロビシロガールズ		ホコロビシロガールズ	むかしばなし	230	230	29	226	57	375	71	584					FALSE	FALSE	FALSE	TRUE	Whte Day杯	2014/3/19
somedayseeyouagain	somedayseeyouagain	69	some day	-see you again-	some day see you again	NAOKI	155	155	22	108	37	185	75	401					FALSE	FALSE	FALSE	TRUE	au未来研究所コラボキャンペーン第1弾	2014/3/19
aqualightremix	aqualightremix	70	Aqualight	(Remix Ver.)	aqualight remix	MAYA AKAI	140	140	22	144	43	267	60	432					FALSE	FALSE	FALSE	TRUE	Aqualight フェスティバル	2014/4/1
wasteland	wasteland	71	Wasteland		wasteland	James Taplin	105	105	4	34	12	80	23	151					FALSE	FALSE	FALSE	TRUE		2014/3/26
whenyoucallmyname	whenyoucallmyname	72	When You Call My Name		when you call my name	Beat Envy	120	120	6	53	14	150	30	211					FALSE	FALSE	FALSE	TRUE		2014/3/26
murasame	murasame	73	Murasame		murasame	Ryunosuke Kudo	130	130	28	170	41	233	76	478					FALSE	TRUE	FALSE	TRUE	第4回ランダムセレクト祭	2014/4/1
sly	sly	74	SLY		sly	RIP SLYME	120	120	11	59	33	230	58	363					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第1弾	2014/4/14	2016/6/21
yukifuruyorunikissshite	yukifuruyorunikissshite	75	雪降る夜にキスして		ユキフルヨルニキスシテ	バンドじゃないもん!	167	167	13	121	29	198	51	330					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第1弾	2014/4/14	2016/6/21
ninjarebangbang	ninjarebangbang	76	にんじゃりばんばん		ニンジャリバンバン	きゃりーぱみゅぱみゅ	130	130	8	62	23	221	41	356					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第1弾	2014/4/14	2016/6/21
fashionmonster	fashionmonster	77	ファッションモンスター		ファッションモンスター	きゃりーぱみゅぱみゅ	160	160	8	74	24	177	39	290					FALSE	FALSE	TRUE	TRUE	なんだこれくしょん特集★	2014/4/17	2016/6/21
furisodation	furisodation	78	ふりそでーしょん		フリソデーション	きゃりーぱみゅぱみゅ	200	200	12	151	24	244	44	360					FALSE	FALSE	TRUE	TRUE	なんだこれくしょん特集★	2014/4/21	2016/6/21
invaderinvader	invaderinvader	79	インベーダーインベーダー		インベーダーインベーダー	きゃりーぱみゅぱみゅ	160	160	10	91	28	226	47	439					FALSE	FALSE	TRUE	TRUE	なんだこれくしょん特集★	2014/4/26	2016/6/21
mottainightland	mottainightland	80	もったいないとらんど		モッタイナイトランド	きゃりーぱみゅぱみゅ	160	160	10	92	26	151	36	185					FALSE	FALSE	TRUE	TRUE	きゃりーぱみゅぱみゅフェスティバル	2014/5/7	2016/6/21
wheresthesilentmajority	wheresthesilentmajority	81	(Where's)THE SILENT MAJORITY?		wheresthe silent majority	高橋優	155	155	17	131	34	237	67	497					FALSE	FALSE	TRUE	TRUE	Next Break Artistコラボ 第2弾	2014/4/28	2016/6/21
parallelspec	parallelspec	82	パラレルスペック		パラレルスペック	ゲスの極み乙女。	138	138	14	154	35	259	61	407					FALSE	FALSE	TRUE	TRUE	Next Break Artistコラボ 第2弾	2014/4/28	2016/6/21
yell	yell	83	エール		エール	FullMooN	130	190	8	72	17	141	52	236					FALSE	FALSE	FALSE	TRUE	Next Break Artistコラボ 第2弾	2014/4/28
sundropremix	sundropremix	84	Sundrop	(Remix ver.)	sundrop remix	Yamajet	150	150	30	155	48	254	79	517					FALSE	TRUE	FALSE	TRUE	第5回ランダムセレクト祭	2014/4/28
nakamawosagashitai	nakamawosagashitai	85	仲間を探したい		ナカマヲサガシタイ	神聖かまってちゃん	135	135	14	99	32	138	53	227					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第2弾	2014/5/22	2016/6/21
ainochikyusai	ainochikyusai	86	愛の地球祭		アイノチキュウサイ	チームしゃちほこ	127	145	17	98	40	201	59	343					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第2弾	2014/5/22	2016/6/21
dontstopthemusic	dontstopthemusic	87	Don't Stop The Music	feat. 森高千里	dont stop the music	tofubeats	110	110	17	130	32	170	56	381					FALSE	FALSE	TRUE	TRUE	unBORDEレーベル特集 第2弾	2014/5/22	2016/6/21
fever	fever	88	フィーバー		フィーバー	パスピエ	135	135	28	149	48	317	68	405					FALSE	FALSE	TRUE	TRUE	MIDSUMMER杯	2014/7/14	2016/6/21
gimmechoco	gimmechoco	89	ギミチョコ!!		ギミチョコ	BABYMETAL	220	220	18	97	39	294	70	555					FALSE	FALSE	FALSE	TRUE	BABYMETALキャンペーン	2014/5/22
ijimedamezettai	ijimedamezettai	90	イジメ、ダメ、ゼッタイ		イジメダメゼッタイ	BABYMETAL	160	160	17	130	35	206	66	389					FALSE	FALSE	FALSE	TRUE	BABYMETALキャンペーン	2014/5/22
intothecave	intothecave	91	Into the Cave		into the cave	Jerico	128	128	22	139	44	198	76	519					FALSE	TRUE	FALSE	TRUE	第6回ランダムセレクト祭	2014/5/23
crossshooter	crossshooter	92	CrossShooter		crossshooter	Tatsh	164	164	35	249	60	444	85	705					FALSE	FALSE	FALSE	TRUE	Tatshフェスティバル	2014/6/10
id	id	93	I.D.		id	Tatsh feat. 彩音	153	153	29	162	46	287	72	494					FALSE	FALSE	FALSE	TRUE	Tatshフェスティバル	2014/6/10
addicted	addicted	94	Addicted		addicted	luz×アリエP	194	194	20	108	34	189	52	324					FALSE	FALSE	FALSE	TRUE	June Bride杯	2014/6/26
reanimation	reanimation	95	Reanimation		reanimation	DC feat. S!N	102.5	205	28	152	44	221	70	396					FALSE	FALSE	FALSE	TRUE	June Bride杯	2014/6/26
vespero	vespero	96	Vespero		vespero	Monotone Rhythm feat. 綾川雪弥	143	143	19	172	40	284	61	397					FALSE	FALSE	FALSE	TRUE	June Bride杯	2014/6/26
hypersphere	hypersphere	97	Hypersphere		hypersphere	Dubscribe	70	140	20	156	38	231	73	467					FALSE	TRUE	FALSE	TRUE	第7回ランダムセレクト祭	2014/6/26
